 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,cell,channel,XMnm,YMnm,NND_other,NNI_other,NND_self,NNI_self,ball_counts,ball_selfcounts
150,d2c2_fullz_trek1.tif:0282-0573,0.014,73.016,33.025,51,29,146,8.602,4.241,8.601,4.24,0.449,A,TREK,8601.0,4240.0,305.04589818583037,529,193.68531178176585,685,6,10
151,d2c2_fullz_trek1.tif:0513-0426,0.022,73.061,31.881,40,32,155,6.391,7.698,6.392,7.691,0.547,A,TREK,6392.0,7691.0,123.22743201089601,822,154.02921800749363,645,5,6
152,d2c2_fullz_trek1.tif:0335-0239,0.011,73.1,35.614,46,22,147,3.585,5.022,3.588,5.025,0.404,A,TREK,3588.0,5025.0,210.85777196963835,319,260.2249027283899,742,9,9
153,d2c2_fullz_trek1.tif:0614-0511,0.012,73.278,32.529,38,26,144,7.663,9.22,7.664,9.22,0.443,A,TREK,7664.0,9220.0,224.95555116511352,689,365.47229717175554,839,7,7
154,d2c2_fullz_trek1.tif:0638-0652,0.011,73.34,36.811,49,24,160,9.793,9.583,9.793,9.585,0.411,A,TREK,9793.0,9585.0,328.72176684850064,294,289.35272592460575,735,8,4
155,d2c2_fullz_trek1.tif:0653-1089,0.015,73.723,31.775,74,28,158,16.343,9.812,16.34,9.813,0.472,A,TREK,16340.0,9813.0,20.0,642,248.6201922612082,348,9,6
156,d2c2_fullz_trek1.tif:0491-0243,0.012,73.904,33.659,100,25,149,3.646,7.374,3.647,7.376,0.409,A,TREK,3647.0,7376.0,88.25531145489205,175,206.0218435020908,716,3,7
157,d2c2_fullz_trek1.tif:0674-0790,0.013,73.931,32.491,32,29,146,11.86,10.117,11.86,10.119,0.447,A,TREK,11860.0,10119.0,114.58621208504974,565,350.13711599886125,451,6,3
158,d2c2_fullz_trek1.tif:0294-0912,0.012,74.164,34.512,31,25,151,13.69,4.418,13.693,4.419,0.423,A,TREK,13693.0,4419.0,381.45117643022155,75,128.03515142334936,504,3,5
159,d2c2_fullz_trek1.tif:0500-0121,0.012,74.636,25.59,90,30,124,1.819,7.516,1.823,7.515,0.433,A,TREK,1823.0,7515.0,168.04761230080004,601,141.82030884185804,691,9,8
160,d2c2_fullz_trek1.tif:0712-0383,0.012,74.963,30.288,51,18,133,5.749,10.692,5.752,10.695,0.412,A,TREK,5752.0,10695.0,198.64037857394453,290,210.23082552280482,883,11,12
161,d2c2_fullz_trek1.tif:0708-0865,0.013,74.966,30.85,37,19,132,12.988,10.622,12.995,10.624,0.43,A,TREK,12995.0,10624.0,249.04015740438328,232,124.84390253432484,698,5,6
162,d2c2_fullz_trek1.tif:0522-0676,0.013,75.034,33.358,43,26,149,10.143,7.836,10.141,7.838,0.437,A,TREK,10141.0,7838.0,220.8438362282271,168,177.61193653580833,217,3,11
163,d2c2_fullz_trek1.tif:0683-0408,0.014,75.484,24.349,55,40,159,6.127,10.255,6.121,10.261,0.459,A,TREK,6121.0,10261.0,82.22530024268686,815,139.21566003866087,465,8,12
164,d2c2_fullz_trek1.tif:0663-0438,0.013,75.638,38.135,38,24,165,6.575,9.958,6.573,9.961,0.429,A,TREK,6573.0,9961.0,168.62087652482418,238,221.5784285529618,282,7,10
165,d2c2_fullz_trek1.tif:0410-0414,0.011,75.771,38.457,39,26,160,6.218,6.155,6.218,6.155,0.41,A,TREK,6218.0,6155.0,65.62011886609167,414,336.2751849304376,810,5,6
166,d2c2_fullz_trek1.tif:0363-0108,0.02,75.846,23.817,63,35,132,1.621,5.456,1.621,5.454,0.538,A,TREK,1621.0,5454.0,41.0,725,251.71610993339303,559,8,8
167,d2c2_fullz_trek1.tif:1002-0551,0.013,76.121,32.458,46,26,146,8.27,15.036,8.272,15.036,0.435,A,TREK,8272.0,15036.0,67.20119046564577,306,269.09106265351886,418,7,3
168,d2c2_fullz_trek1.tif:0788-0624,0.014,77.117,36.169,72,19,154,9.373,11.836,9.374,11.836,0.45,A,TREK,9374.0,11836.0,34.785054261852174,83,267.36678926149375,662,3,5
169,d2c2_fullz_trek1.tif:0828-0268,0.013,77.19,33.096,38,27,153,4.022,12.426,4.024,12.424,0.436,A,TREK,4024.0,12424.0,40.0,764,266.0845730214362,827,5,7
170,d2c2_fullz_trek1.tif:0464-1204,0.014,77.213,28.368,36,23,131,18.077,6.976,18.076,6.977,0.457,A,TREK,18076.0,6977.0,199.9449924354196,787,280.5726287434325,63,2,5
171,d2c2_fullz_trek1.tif:0193-0529,0.014,77.25,42.061,36,17,180,7.938,2.902,7.938,2.904,0.437,A,TREK,7938.0,2904.0,88.88756943465155,57,187.04010265181182,469,4,7
172,d2c2_fullz_trek1.tif:0624-0274,0.011,77.255,46.252,25,13,181,4.115,9.374,4.114,9.377,0.42,A,TREK,4114.0,9377.0,178.61970775925036,691,206.08978625831995,29,5,6
173,d2c2_fullz_trek1.tif:0645-0184,0.018,77.397,29.303,69,18,139,2.765,9.682,2.764,9.684,0.52,A,TREK,2764.0,9684.0,147.59742545180114,459,321.1230293828208,303,6,7
174,d2c2_fullz_trek1.tif:0693-0869,0.013,77.593,35.184,43,24,146,13.042,10.406,13.044,10.406,0.437,A,TREK,13044.0,10406.0,29.698484809834994,232,223.4390297150433,160,7,5
175,d2c2_fullz_trek1.tif:0164-0364,0.014,77.783,30.868,39,30,150,5.466,2.467,5.469,2.466,0.453,A,TREK,5469.0,2466.0,308.25476476447204,775,324.3763246601083,620,4,5
176,d2c2_fullz_trek1.tif:0753-0642,0.013,78.0,34.653,33,29,146,9.64,11.302,9.64,11.303,0.431,A,TREK,9640.0,11303.0,404.2598174441778,48,236.32604596192948,484,5,2
177,d2c2_fullz_trek1.tif:0732-0712,0.014,78.095,33.367,45,23,151,10.684,10.99,10.682,10.988,0.454,A,TREK,10682.0,10988.0,289.6204412675321,421,182.0109886792553,494,6,4
178,d2c2_fullz_trek1.tif:0882-0497,0.015,78.397,34.109,73,22,162,7.472,13.244,7.471,13.247,0.481,A,TREK,7471.0,13247.0,93.74433316206373,552,204.84140206510986,3,3,4
179,d2c2_fullz_trek1.tif:0204-0714,0.01,78.587,25.774,45,35,136,10.724,3.067,10.729,3.069,0.382,A,TREK,10729.0,3069.0,298.21636440678435,731,98.2344135219425,501,3,4
