 ,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.
631,d2c2_fullz_trek1.tif:0716-0347,0.015,204.318,109.033,171,64,455,5.208,10.748,5.211,10.75,0.46
632,d2c2_fullz_trek1.tif:0497-0052,0.013,204.569,103.93,88,70,427,0.785,7.459,0.785,7.461,0.458
633,d2c2_fullz_trek1.tif:0720-0562,0.015,204.697,95.359,151,72,404,8.432,10.806,8.432,10.806,0.471
634,d2c2_fullz_trek1.tif:0545-1178,0.016,204.918,110.741,85,53,460,17.685,8.18,17.683,8.179,0.473
635,d2c2_fullz_trek1.tif:0712-0438,0.019,205.373,96.885,106,62,407,6.577,10.692,6.577,10.693,0.502
636,d2c2_fullz_trek1.tif:0674-0449,0.018,205.744,93.951,309,51,445,6.74,10.117,6.736,10.128,0.486
637,d2c2_fullz_trek1.tif:0231-0638,0.017,206.263,100.85,113,50,432,9.585,3.467,9.584,3.469,0.497
638,d2c2_fullz_trek1.tif:0692-0398,0.018,206.709,99.855,121,61,432,5.969,10.386,5.974,10.384,0.506
639,d2c2_fullz_trek1.tif:0592-0529,0.016,207.338,114.887,76,48,469,7.945,8.884,7.946,8.886,0.473
640,d2c2_fullz_trek1.tif:0598-0298,0.015,207.388,124.519,70,64,523,4.487,8.981,4.486,8.981,0.47
641,d2c2_fullz_trek1.tif:0848-0713,0.016,207.71,87.322,100,69,380,10.699,12.728,10.7,12.73,0.484
642,d2c2_fullz_trek1.tif:0407-0150,0.015,207.806,105.259,115,75,453,2.259,6.114,2.256,6.114,0.462
643,d2c2_fullz_trek1.tif:0407-0089,0.018,213.769,92.103,124,69,409,1.331,6.108,1.333,6.11,0.504
644,d2c2_fullz_trek1.tif:0666-1032,0.016,214.099,93.113,113,86,407,15.495,9.994,15.496,9.995,0.48
645,d2c2_fullz_trek1.tif:0732-0436,0.015,214.324,106.474,97,58,444,6.542,10.984,6.537,10.985,0.461
646,d2c2_fullz_trek1.tif:0516-0435,0.016,214.667,109.807,79,62,449,6.54,7.753,6.533,7.753,0.468
647,d2c2_fullz_trek1.tif:0555-0121,0.016,216.137,113.269,78,67,484,1.825,8.334,1.826,8.336,0.482
648,d2c2_fullz_trek1.tif:0501-0352,0.018,217.177,113.064,99,47,487,5.286,7.526,5.281,7.527,0.494
649,d2c2_fullz_trek1.tif:0739-0298,0.015,217.324,117.258,93,62,507,4.485,11.091,4.485,11.093,0.472
650,d2c2_fullz_trek1.tif:0528-0633,0.016,217.466,109.295,94,65,468,9.499,7.918,9.5,7.918,0.471
651,d2c2_fullz_trek1.tif:0472-0959,0.017,217.649,109.971,67,67,444,14.39,7.093,14.39,7.093,0.494
652,d2c2_fullz_trek1.tif:0574-0626,0.016,217.903,113.014,98,81,490,9.395,8.622,9.396,8.621,0.479
653,d2c2_fullz_trek1.tif:0578-0055,0.015,220.691,109.056,103,78,476,0.821,8.683,0.82,8.683,0.477
654,d2c2_fullz_trek1.tif:0113-0318,0.016,220.918,107.375,109,70,473,4.784,1.699,4.784,1.702,0.488
655,d2c2_fullz_trek1.tif:0218-0448,0.017,222.364,100.919,164,76,432,6.733,3.275,6.732,3.276,0.498
656,d2c2_fullz_trek1.tif:0367-0481,0.017,222.671,95.867,104,60,432,7.217,5.503,7.213,5.505,0.489
657,d2c2_fullz_trek1.tif:0318-0326,0.015,223.364,111.644,114,63,482,4.894,4.779,4.892,4.78,0.472
658,d2c2_fullz_trek1.tif:0382-1166,0.015,224.075,130.201,96,68,543,17.508,5.728,17.51,5.727,0.458
659,d2c2_fullz_trek1.tif:0441-0967,0.016,224.114,109.916,102,72,455,14.513,6.621,14.514,6.621,0.478
660,d2c2_fullz_trek1.tif:0362-0510,0.012,224.218,129.984,72,56,528,7.659,5.446,7.657,5.444,0.444
661,d2c2_fullz_trek1.tif:0613-0569,0.017,224.857,110.257,131,63,464,8.547,9.198,8.548,9.199,0.497
662,d2c2_fullz_trek1.tif:0506-1148,0.015,225.582,115.393,66,66,475,17.23,7.603,17.229,7.605,0.476
663,d2c2_fullz_trek1.tif:0803-0634,0.015,225.791,118.131,114,78,493,9.523,12.058,9.523,12.058,0.461
664,d2c2_fullz_trek1.tif:0300-0347,0.015,227.092,139.456,88,39,546,5.202,4.497,5.206,4.498,0.455
665,d2c2_fullz_trek1.tif:0259-0762,0.016,227.71,107.186,119,77,468,11.442,3.892,11.443,3.892,0.465
666,d2c2_fullz_trek1.tif:0179-0684,0.017,228.597,103.801,112,81,470,10.265,2.69,10.262,2.691,0.5
667,d2c2_fullz_trek1.tif:0364-0494,0.016,229.429,122.867,105,62,560,7.413,5.468,7.412,5.468,0.478
668,d2c2_fullz_trek1.tif:0397-0500,0.014,231.29,140.436,86,70,578,7.511,5.953,7.512,5.953,0.46
669,d2c2_fullz_trek1.tif:0519-0621,0.021,231.905,96.191,132,72,419,9.332,7.787,9.333,7.788,0.547
670,d2c2_fullz_trek1.tif:0608-0826,0.015,232.132,120.539,129,58,492,12.4,9.132,12.399,9.13,0.463
671,d2c2_fullz_trek1.tif:0473-0553,0.015,232.4,131.243,95,72,542,8.295,7.105,8.296,7.104,0.465
672,d2c2_fullz_trek1.tif:0799-0713,0.014,232.413,118.569,185,70,502,10.699,11.993,10.698,11.993,0.464
673,d2c2_fullz_trek1.tif:0440-0512,0.016,232.855,116.107,95,66,500,7.69,6.607,7.687,6.608,0.47
674,d2c2_fullz_trek1.tif:0305-0560,0.017,233.347,139.697,103,48,553,8.403,4.573,8.402,4.573,0.493
675,d2c2_fullz_trek1.tif:0350-0211,0.016,234.139,116.776,110,58,501,3.181,5.263,3.179,5.263,0.481
676,d2c2_fullz_trek1.tif:0192-0376,0.013,234.276,134.052,81,81,551,5.647,2.885,5.647,2.885,0.449
677,d2c2_fullz_trek1.tif:0542-0712,0.016,234.644,138.179,82,55,583,10.691,8.137,10.691,8.136,0.481
678,d2c2_fullz_trek1.tif:0624-0230,0.016,235.222,128.369,90,74,531,3.451,9.373,3.451,9.374,0.478
679,d2c2_fullz_trek1.tif:0419-0244,0.022,236.152,101.518,97,70,428,3.671,6.293,3.666,6.294,0.57
680,d2c2_fullz_trek1.tif:0475-0765,0.02,236.33,112.398,139,80,513,11.473,7.123,11.477,7.128,0.523
681,d2c2_fullz_trek1.tif:0523-0290,0.016,236.563,95.307,226,38,428,4.36,7.855,4.354,7.858,0.472
682,d2c2_fullz_trek1.tif:0473-0295,0.015,236.862,135.856,118,65,557,4.428,7.096,4.429,7.097,0.463
683,d2c2_fullz_trek1.tif:0142-0334,0.015,237.418,121.488,130,61,505,5.014,2.14,5.013,2.14,0.472
684,d2c2_fullz_trek1.tif:0641-0428,0.017,238.461,128.941,97,63,532,6.422,9.627,6.421,9.626,0.489
